realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,city,day_type
210.3658537,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,91,0,0.541021778,0.42791926,-9.13395,38.71038,lisbon,weekday
176.1817209,Private room,FALSE,TRUE,2,FALSE,1,0,9,89,1,3.032839151,0.343492056,2.14165,41.37011,barcelona,weekday
142.0541405,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,11.90971188,6.710908979,0.00475,51.44025,london,weekend
428.7445242,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,94,0,4.158389765,0.145570338,2.30179,48.87297,paris,weekend
220.2798022,Entire home/apt,FALSE,FALSE,6,TRUE,0,1,10,93,2,1.302189968,0.369474779,23.72468,37.96746,athens,weekend
897.1013142,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,0,4.269553008,0.179030472,2.312,48.884,paris,weekday
251.4213813,Private room,FALSE,TRUE,2,FALSE,0,1,10,89,1,1.874906934,0.272825311,2.36047,48.84049,paris,weekday
194.914462,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,97,1,5.18879226,0.118039357,13.36198,52.49077,berlin,weekday
138.638861,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,1.893444212,0.884836572,12.49919,41.88398,rome,weekend
166.4601501,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,4.650792436,2.100572267,12.4623,41.93024,rome,weekend
100.6097561,Shared room,TRUE,FALSE,4,FALSE,0,1,4,40,1,1.600699773,0.207996863,-9.14822,38.72513,lisbon,weekday
167.8031978,Private room,FALSE,TRUE,3,TRUE,0,0,10,98,1,7.612114293,0.6797638,2.183,41.455,barcelona,weekday
698.0408758,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,100,2,0.24601722,0.091286076,-0.12446,51.5072,london,weekday
372.5393354,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,78,1,4.556462419,0.186325622,-0.15401,51.54579,london,weekday
321.5290807,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,9,96,1,0.968976287,0.483378059,-9.12864,38.71092,lisbon,weekday
208.0751876,Private room,FALSE,TRUE,2,FALSE,1,0,10,100,1,2.136041454,1.086067035,12.50427,41.92004,rome,weekend
250.5668139,Entire home/apt,FALSE,FALSE,4,TRUE,0,1,10,95,1,1.498908083,0.328073232,16.35381,48.20613,vienna,weekend
296.5732966,Private room,FALSE,TRUE,2,TRUE,1,0,10,100,1,5.071365283,0.55344736,-0.19777,51.49589,london,weekday
388.0618077,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,3,8.654797606,0.546842285,-0.16655,51.43446,london,weekend
446.4535371,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,9,89,1,4.858830504,0.299564205,2.29381,48.87653,paris,weekend
333.4979656,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,95,1,4.90608474,0.750006358,-0.0573,51.5034,london,weekend
524.4714128,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,94,1,4.824100458,0.445516582,-0.19375,51.49526,london,weekday
145.418839,Private room,FALSE,TRUE,2,FALSE,0,1,10,97,1,0.828443862,0.428270757,12.495,41.906,rome,weekend
124.0619137,Private room,FALSE,TRUE,2,FALSE,0,1,9,93,1,0.7430984,0.146412659,-9.135,38.718,lisbon,weekday
147.4634869,Private room,FALSE,TRUE,4,FALSE,0,1,10,60,1,2.096762314,0.356914374,-0.12559,51.52713,london,weekday
142.0541405,Private room,FALSE,TRUE,2,FALSE,0,0,9,90,1,8.394491204,4.37443167,-0.05714,51.447,london,weekend
76.62925035,Entire home/apt,FALSE,FALSE,2,TRUE,0,0,9,96,1,2.122045557,0.446100615,23.71168,37.97196,athens,weekend
327.2327794,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,93,1,4.728203518,0.255867471,16.38189,48.16635,vienna,weekday
353.2482058,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,97,0,1.07220611,0.119075445,2.36732,48.85583,paris,weekday
104.0333279,Private room,FALSE,TRUE,2,FALSE,1,0,8,83,1,1.701912698,0.347006284,2.16648,41.37204,barcelona,weekday
511.5360192,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,95,3,4.788764919,1.893665085,-0.16944,51.47416,london,weekend
299.7217871,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,2,20,0,2.260631372,0.54663661,12.47646,41.90743,rome,weekday
417.4604295,Private room,FALSE,TRUE,2,FALSE,0,0,10,94,1,0.040560586,0.181653779,-0.12717,51.50862,london,weekend
335.1442884,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,75,0,2.48171201,0.269955772,-0.13118,51.53051,london,weekday
582.804115,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,99,1,2.296383895,0.375221603,4.89584,52.35266,amsterdam,weekend
356.4314672,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,98,1,6.291348488,2.380791242,4.8016,52.36542,amsterdam,weekend
270.7614876,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,100,1,2.136837264,0.191140357,2.37135,48.87136,paris,weekend
157.5208002,Private room,FALSE,TRUE,2,FALSE,0,0,9,96,1,3.815059714,0.185376582,13.39365,52.49211,berlin,weekend
150.632138,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,100,0,2.109684165,0.104933485,19.05922,47.51723,budapest,weekday
76.21630468,Private room,FALSE,TRUE,4,FALSE,0,1,9,92,1,2.150005527,0.4389415,12.508,41.882,rome,weekday
235.4655262,Entire home/apt,FALSE,FALSE,3,TRUE,0,1,10,98,1,1.01512671,0.410236802,19.05502,47.48944,budapest,weekend
672.6404666,Entire home/apt,FALSE,FALSE,5,FALSE,1,0,9,90,2,5.137849033,1.190057621,-0.05352,51.5088,london,weekday
161.7843032,Entire home/apt,FALSE,FALSE,4,FALSE,0,0,10,95,2,3.509913336,1.923371787,12.495,41.932,rome,weekend
167.316821,Entire home/apt,FALSE,FALSE,3,TRUE,0,0,10,99,1,2.314383959,0.567748867,19.05354,47.51937,budapest,weekend
307.2031422,Private room,FALSE,TRUE,2,TRUE,0,1,9,92,1,2.902866368,1.57275877,12.46764,41.89708,rome,weekend
180.2415754,Entire home/apt,FALSE,FALSE,5,TRUE,0,1,10,99,2,1.026790285,0.276316717,19.058,47.48968,budapest,weekday
123.8273921,Private room,FALSE,TRUE,2,FALSE,0,1,8,85,1,0.707934266,0.146183971,-9.13404,38.71701,lisbon,weekend
386.2570356,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,100,2,1.308676604,0.17308722,-9.12482,38.71448,lisbon,weekend
219.666502,Private room,FALSE,TRUE,2,FALSE,0,0,10,96,1,2.617202341,0.387796164,-0.1314,51.53172,london,weekend
84.66228893,Private room,FALSE,TRUE,2,FALSE,1,0,10,92,1,2.941325924,0.200645418,-9.13372,38.73847,lisbon,weekday
164.8236037,Private room,FALSE,TRUE,3,FALSE,1,0,10,92,1,1.391853436,0.233776977,12.48617,41.90444,rome,weekday
